OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
687d445af058020cb7c8c5647ac7f7eb	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Phascolarctobacterium	g__Phascolarctobacterium; s__
f594f75fd205f8bc43a8aad059886ce6	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	g__Fusobacterium; s__
f478e608d6137b8ec8576935ac72c6fa	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	g__Coprococcus; s__
df0a9e6ffcfe929f20c86d9f259d6c8a	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	g__Clostridium; s__
db7b0ac7b64814a3711f65f4aaa2d70f	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	f__Rikenellaceae; g__	f__Rikenellaceae; g__; s__
758806bf6899a245f2a25bf7eb8c51b2	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	f__Enterobacteriaceae; g__	f__Enterobacteriaceae; g__; s__
6dcd7cada82fcf76ac02b3bbe51e7c1b	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Megamonas	g__Megamonas; s__
4df3cecb847ff303a18ce61a00cb81eb	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	f__[Mogibacteriaceae]; g__	f__[Mogibacteriaceae]; g__; s__
f110d08d9d912da101f09b404814bdbe	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	g__Blautia; s__
287ad4501a53c91f0105669365209023	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Dialister	g__Dialister; s__
f7374acc47b767c8b567e3068184ef91	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Phascolarctobacterium	g__Phascolarctobacterium; s__
7ed433d8eac3f10ebef1e2eb3097921a	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	f__S24-7; g__	f__S24-7; g__; s__
3c7e69edf98e86398b3c382243e00751	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	f__S24-7; g__	f__S24-7; g__; s__
8538e79f9e484bdca58eb6c8b90c83e6	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	f__Coriobacteriaceae; g__	f__Coriobacteriaceae; g__; s__
ecc614ee7d310a4c2ff029753db44743	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	f__Ruminococcaceae; g__	f__Ruminococcaceae; g__; s__
df1a99f8882f66c655315c18bd454d7c	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	f__S24-7; g__	f__S24-7; g__; s__
3ec9ee074ecef831566803994e23c987	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	f__Coriobacteriaceae; g__	f__Coriobacteriaceae; g__; s__
e1f92c1f62d5dcfa7f7430903dd11842	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	f__Ruminococcaceae; g__	f__Ruminococcaceae; g__; s__
675a5994996322daa6530e5c9301f4c9	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f__Lachnospiraceae; g__	f__Lachnospiraceae; g__; s__
6b9c00ad0a88b5d0ff4bbc2e131f22ed	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	f__S24-7; g__	f__S24-7; g__; s__
276d25a0bc611289688b17256ff0266a	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__faecis
261da0bb3b003003f79bf885cc194c4d	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	f__S24-7; g__	f__S24-7; g__; s__
be292c36f4af3d8cab271ed3ae299c57	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Clostridium	s__citroniae
773115a3893342ad683cfdc890fa643e	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	f__[Mogibacteriaceae]; g__	f__[Mogibacteriaceae]; g__; s__
acc8948d0ef2384ba3c6af79854aeb36	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	g__Coprococcus; s__
6b61cd41dd1cc6a1f19215199c962327	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__prausnitzii
a80c81d76938bb268a2e52ec7cdea0c5	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__adolescentis
ab90b2b2811728e281adf8e81de7bf25	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	g__Blautia; s__
4050f32bd64e478b2b6ef62a58a7bda5	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f__Clostridiaceae; g__	f__Clostridiaceae; g__; s__
487740b28738d6fb203c58814ed866cf	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	f__Coriobacteriaceae; g__	f__Coriobacteriaceae; g__; s__
